loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
3021,8565266,K00578.01,Kepler-608 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.412512953,169.879804,0.553,5.2677,1.16E+03,3.89,0.0685,1069,308.76,183.1,1,q1_q17_dr25_tce,6026,4.366,-0.02,1.108,1.038,293.88293,44.638088,14.684,NO_COMMENT
3022,8616637,K00579.01,Kepler-190 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.019997006,170.07102,0.502,1.8073,3.33E+02,1.46,0.0293,1166,437.85,52.1,1,q1_q17_dr25_tce,5103,4.562,0.04,0.787,0.823,288.58405,44.733799,14.137,CENT_RESOLVED_OFFSET
3023,8616637,K00579.02,Kepler-190 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.763041531,132.59298,0.76,1.6011,3.55E+02,1.63,0.0444,948,190.67,37.9,2,q1_q17_dr25_tce,5103,4.562,0.04,0.787,0.823,288.58405,44.733799,14.137,CENT_RESOLVED_OFFSET
3024,8625925,K00580.01,Kepler-609 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.521209629,175.7111,0.514,2.7975,7.60E+02,2.54,0.0682,932,178.27,69.8,1,q1_q17_dr25_tce,5822,4.529,-0.06,0.898,0.994,292.22031,44.700031,14.856,NO_COMMENT
3025,8822216,K00581.01,Kepler-610 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.996926239,175.914281,0.022,2.7374,1.32E+03,3.21,0.0719,888,147.07,101.6,1,q1_q17_dr25_tce,5713,4.541,0.07,0.893,1.01,293.17133,45.065601,14.807,NO_COMMENT
3026,4548011,K04288.04,,CANDIDATE,CANDIDATE,0.676,0,0,0,0,13.9509565,144.287,0.467,5.231,3.57E+01,0.75,0.1148,849,122.88,11.2,3,q1_q17_dr25_tce,5888,4.275,0.06,1.227,1.036,287.37125,39.603569,12.4,NO_COMMENT
3027,9967884,K00425.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,5.428344915,169.753676,0.911,1.8931,1.38E+04,14.88,0.062,1033,269.19,140.2,1,q1_q17_dr25_tce,5936,4.501,0.07,0.965,1.075,297.97424,46.804562,14.694,CENT_SATURATED
3028,10016874,K00426.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,16.30141333,172.14753,0.786,3.5764,9.42E+02,3.84,0.1261,805,99.08,62.4,1,q1_q17_dr25_tce,6072,4.328,-0.14,1.138,1.004,294.02298,46.99955,14.733,NO_COMMENT
3029,10189546,K00427.01,Kepler-549 d,CONFIRMED,CANDIDATE,1,0,0,0,0,24.61480613,191.741225,0.435,2.6602,1.80E+03,4.2,0.1575,586,27.93,68.4,1,q1_q17_dr25_tce,5312,4.384,0.16,0.986,0.859,283.0228,47.261131,14.621,NO_COMMENT
3030,10189546,K00427.02,Kepler-549 b,CONFIRMED,CANDIDATE,1,0,0,0,0,42.949522,153.73786,0.013,5.4154,9.59E+02,2.98,0.2283,487,13.29,40.7,2,q1_q17_dr25_tce,5312,4.384,0.16,0.986,0.859,283.0228,47.261131,14.621,NO_COMMENT
3031,10189546,K00427.03,Kepler-549 c,CONFIRMED,CANDIDATE,0.995,0,0,0,0,117.033521,245.65151,0.188,6.822,7.70E+02,2.68,0.4453,349,3.49,21.9,3,q1_q17_dr25_tce,5312,4.384,0.16,0.986,0.859,283.0228,47.261131,14.621,NO_COMMENT
3032,10748393,K01289.02,,FALSE POSITIVE,FALSE POSITIVE,0.001,1,0,0,0,386.39833,365.94877,0.287,8.519,7.48E+02,2.2,0.9651,214,0.49,4.9,2,q1_q17_dr25_tce,5284,4.523,-0.12,0.812,0.804,297.71039,48.083832,15.399,MOD_SEC_DV
